file	multicov_No	sample	group	time	type	seq	rep
/home/guestA/n70275a/kTanaka/0110NOVAseq/mapped/20200501_3T3_EGFP18_UI_DoxMinus_H3p3_Rep01.bam	1	H3p3_UI_DoxMinus_1	H3p3_UI_DoxMinus	UI	DoxMinus	H3p3	1
/home/guestA/n70275a/kTanaka/0110NOVAseq/mapped/20200501_3T3_EGFP18_UI_DoxMinus_H3p3_Rep02.bam	2	H3p3_UI_DoxMinus_2	H3p3_UI_DoxMinus	UI	DoxMinus	H3p3	2
/home/guestA/n70275a/kTanaka/0110NOVAseq/mapped/20200501_3T3_EGFP18_UI_DoxPlus_H3p3_Rep01.bam	3	H3p3_UI_DoxPlus_1	H3p3_UI_DoxPlus	UI	DoxPlus	H3p3	1
/home/guestA/n70275a/kTanaka/0110NOVAseq/mapped/20200501_3T3_EGFP18_UI_DoxPlus_H3p3_Rep02.bam	4	H3p3_UI_DoxPlus_2	H3p3_UI_DoxPlus	UI	DoxPlus	H3p3	2
/home/guestA/n70275a/kTanaka/0110NOVAseq/mapped/20200501_3T3_EGFP18_0h_DoxMinus_H3p3_Rep01.bam	5	H3p3_0h_DoxMinus_1	H3p3_0h_DoxMinus	0h	DoxMinus	H3p3	1
/home/guestA/n70275a/kTanaka/0110NOVAseq/mapped/20200501_3T3_EGFP18_0h_DoxMinus_H3p3_Rep02.bam	6	H3p3_0h_DoxMinus_2	H3p3_0h_DoxMinus	0h	DoxMinus	H3p3	2
/home/guestA/n70275a/kTanaka/0110NOVAseq/mapped/20200501_3T3_EGFP18_0h_DoxPlus_H3p3_Rep01.bam	7	H3p3_0h_DoxPlus_1	H3p3_0h_DoxPlus	0h	DoxPlus	H3p3	1
/home/guestA/n70275a/kTanaka/0110NOVAseq/mapped/20200501_3T3_EGFP18_0h_DoxPlus_H3p3_Rep02.bam	8	H3p3_0h_DoxPlus_2	H3p3_0h_DoxPlus	0h	DoxPlus	H3p3	2
/home/guestA/n70275a/kTanaka/0111NOVAseq/mapped/3T3_EGFP18_24h_DoxMinus_H3p3_Rep02_runMerged.bam	9	H3p3_24h_DoxMinus_1	H3p3_24h_DoxMinus	24h	DoxMinus	H3p3	1
/home/guestA/n70275a/kTanaka/0111NOVAseq/mapped/0111_3T3_EGFP18_24h_DoxMinus_H3p3_Rep03.bam	10	H3p3_24h_DoxMinus_2	H3p3_24h_DoxMinus	24h	DoxMinus	H3p3	2
/home/guestA/n70275a/kTanaka/0111NOVAseq/mapped/3T3_EGFP18_24h_DoxPlus_H3p3_Rep01_runMerged.bam	11	H3p3_24h_DoxPlus_1	H3p3_24h_DoxPlus	24h	DoxPlus	H3p3	1
/home/guestA/n70275a/kTanaka/0111NOVAseq/mapped/3T3_EGFP18_24h_DoxPlus_H3p3_Rep02_runMerged.bam	12	H3p3_24h_DoxPlus_2	H3p3_24h_DoxPlus	24h	DoxPlus	H3p3	2
/home/guestA/n70275a/kTanaka/0111NOVAseq/mapped/3T3_EGFP18_48h_DoxMinus_H3p3_Rep01_runMerged.bam	13	H3p3_48h_DoxMinus_1	H3p3_48h_DoxMinus	48h	DoxMinus	H3p3	1
